plugin_id,severity,name
11030,HIGH,Apache Chunked Encoding Remote Overflow
11110,HIGH,MS02-045: Microsoft Windows SMB Protocol SMB_COM_TRANSACTION Packet Remote Overflow DoS (326830) (uncredentialed check)
11137,HIGH,Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)
11214,CRITICAL,MS02-061: Microsoft SQL Server Multiple Vulnerabilities (uncredentialed check)
11267,MEDIUM,OpenSSL < 0.9.6j / 0.9.7b Multiple Vulnerabilities
11322,MEDIUM,MS02-035: MS SQL Installation may leave passwords on system (263968)
11323,HIGH,Flash Player < 6.0.79.0 Multiple Unspecified Overflows
11506,HIGH,QuickTime < 6.1 URL Handling Overflow (Windows)
11793,HIGH,Apache < 1.3.28 Multiple Vulnerabilities (DoS, ID)
11804,MEDIUM,MS03-031: Cumulative Patch for MS SQL Server (815495)
11808,CRITICAL,MS03-026: Microsoft RPC Interface Buffer Overrun (823980) (uncredentialed check)
11835,CRITICAL,MS03-039: Microsoft RPC Interface Buffer Overrun (824146) (uncredentialed check)
11850,HIGH,PHP < 4.3.3 Multiple Vulnerabilities
11890,CRITICAL,MS03-043: Buffer Overrun in Messenger Service (828035) (uncredentialed check)
11915,HIGH,Apache < 1.3.29 Multiple Modules Local Overflow
11952,MEDIUM,Flash Player < 7.0.19.0 Predictable Data Location Weakness
12054,CRITICAL,MS04-007: ASN.1 Vulnerability Could Allow Code Execution (828028) (uncredentialed check) (NTLM)
12085,MEDIUM,Apache Tomcat Default Files
12110,MEDIUM,OpenSSL < 0.9.6m / 0.9.7d Multiple Remote DoS
12209,CRITICAL,MS04-011: Security Update for Microsoft Windows (835732) (uncredentialed check)
12280,MEDIUM,Apache < 1.3.31 / 2.0.49 Socket Connection Blocking Race Condition DoS
13852,CRITICAL,MS04-022: Microsoft Windows Task Scheduler Remote Overflow (841873) (uncredentialed check)
14724,HIGH,MS04-028: Buffer Overrun in JPEG Processing (833987)
15973,HIGH,PHP < 4.3.10 / 5.0.3 Multiple Vulnerabilities
17637,HIGH,QuickTime < 6.5.2 PictureViewer Malformed JPEG Overflow (Windows)
17696,MEDIUM,Apache HTTP Server 403 Error Page UTF-7 Encoded XSS
17710,HIGH,PHP < 4.4.4 Multiple Vulnerabilities
17755,MEDIUM,OpenSSL < 0.9.7h / 0.9.8a Protocol Version Rollback
17756,MEDIUM,OpenSSL < 0.9.7k / 0.9.8c PKCS Padding RSA Signature Forgery Vulnerability
17757,CRITICAL,OpenSSL < 0.9.7l / 0.9.8d Multiple Vulnerabilities
17758,MEDIUM,OpenSSL < 0.9.7m / 0.9.8e Buffer Overflow (deprecated)
17759,MEDIUM,OpenSSL < 0.9.8 Weak Default Configuration
17760,HIGH,OpenSSL 0.9.8 < 0.9.8f Multiple Vulnerabilities
17761,MEDIUM,OpenSSL 0.9.8 < 0.9.8i Vulnerability
17762,MEDIUM,OpenSSL 0.9.8 < 0.9.8j Vulnerability
17763,LOW,OpenSSL 0.9.8 < 0.9.8k Multiple Vulnerabilities
17765,MEDIUM,OpenSSL < 0.9.8l Multiple Vulnerabilities
17766,HIGH,OpenSSL < 0.9.8p / 1.0.0b Buffer Overflow
17767,MEDIUM,OpenSSL < 0.9.8p / 1.0.0e Double Free Vulnerability
17796,HIGH,PHP 4.x < 4.3.0 ZendEngine Integer Overflow
18026,HIGH,MS05-023: Vulnerability in Word May Lead to Code Execution (890169)
18033,HIGH,PHP < 4.3.11 / 5.0.3 Multiple Unspecified Vulnerabilities
18482,HIGH,MS05-026: Vulnerability in HTML Help Could Allow Remote Code Execution (896358)
18502,CRITICAL,MS05-027: Vulnerability in SMB Could Allow Remote Code Execution (896422) (uncredentialed check)
18681,HIGH,MS05-036: Vulnerability in Microsoft Color Management Module Could Allow Remote Code Execution (901214)
19402,CRITICAL,MS05-039: Vulnerability in Plug and Play Could Allow Remote Code Execution and Elevation of Privilege (899588)
19403,HIGH,MS05-040: Vulnerability in Telephony Service Could Allow Remote Code Execution (893756)
19405,MEDIUM,MS05-042: Vulnerability in Kerberos Could Allow Denial of Service, Information Disclosure and Spoofing (899587)
19407,HIGH,MS05-043: Vulnerability in Printer Spooler Service Could Allow Remote Code Execution (896423) (uncredentialed check)
19408,CRITICAL,MS05-039: Vulnerability in Plug and Play Service Could Allow Remote Code Execution (899588) (uncredentialed check)
19998,MEDIUM,MS05-045: Vulnerability in Network Connection Manager Could Allow Denial of Service (905414)
19999,CRITICAL,MS05-046: Vulnerability in the Client Service for NetWare Could Allow Remote Code Execution (899589)
20001,HIGH,MS05-048: Vulnerability in the Microsoft Collaboration Data Objects Could Allow Remote Code Execution (907245)
20003,HIGH,MS05-050: Vulnerability in DirectShow Could Allow Remote Code Execution (904706)
20004,CRITICAL,MS05-051: Vulnerabilities in MSDTC and COM+ Could Allow Remote Code Execution (902400)
20111,HIGH,PHP < 4.4.1 / 5.0.6 Multiple Vulnerabilities
20136,HIGH,QuickTime < 7.0.3 Multiple Vulnerabilities (Windows)
20158,HIGH,Flash Player < 7.0.60.0 / 8.0.22.0 Multiple Vulnerabilities
20389,HIGH,MS06-002: Vulnerability in Embedded Web Fonts Could Allow Remote Code Execution (908519)
20390,HIGH,MS06-003: Vulnerability in TNEF Decoding in Microsoft Outlook and Microsoft Exchange Could Allow Remote Code Execution (902412)
20395,HIGH,QuickTime < 7.0.4 Multiple Vulnerabilities (Windows)
